User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
蓝慕楹,@lanying24113338,2022-09-27T19:09:38.000Z,"蓝慕楹
@lanying24113338
·
Sep 27, 2022AltaGas selling Alaskan utilities business to TriSummit Utilities for $1,025 billion . CALGARY - AltaGas Ltd, says it has signed a deal to sell its Alaskan utilities business to TriSummit Utilities Inc, for $1,025 billion,",,,
WKRB News,@WKRBNews,2022-09-17T12:46:58.000Z,"WKRB News
@WKRBNews
·
Sep 17, 2022Short Interest in AltaGas Ltd. $ATGFF Declines By 17.5% http://wkrb13.com/?p=4893223 #markets",,,
SADIF - Analytics,@SADIFAnalytics,2022-09-16T20:20:10.000Z,"SADIF - Analytics
@SADIFAnalytics
·
Sep 16, 2022Rating Update for AltaGas Ltd $ALA https://sadifanalytics.com/research/58397",,,
SEC.report,@EdgarInsider,2022-08-23T10:10:00.000Z,"SEC.report
@EdgarInsider
·
Aug 23, 2022FORM 6-K  recently SEC filed.  $ATGFF $ALTGF #AltaGas Ltd.  https://sec.report/Document/0001104659-22-093460/…",,,
SEC.report,@EdgarInsider,2022-08-23T10:09:01.000Z,"SEC.report
@EdgarInsider
·
Aug 23, 2022Alert  / Form 6-K filed with the SEC  $ATGFF $ALTGF #AltaGas Ltd.  https://sec.report/Document/0001104659-22-093457/…",,,
BC Gas Lobbying Bot,@BCGasLobbyBot,2022-08-15T20:30:57.000Z,"BC Gas Lobbying Bot
@BCGasLobbyBot
·
Aug 15, 2022 FOSSIL FUEL LOBBYING ALERT: On Fri. July 8, 2022, AltaGas Ltd. lobbied Jennifer Rice (MLA for North Coast), and Ellis Ross (MLA Skeena).
1
1",,1.0,1.0
MCS,@PowerMcs,2022-07-28T20:35:45.000Z,"MCS
@PowerMcs
·
Jul 28, 2022AltaGas Ltd. (ATGFF) CEO Randy Crawford on Q2 2022 Results - Earnings Call Transcript
seekingalpha.com
AltaGas Ltd. (ATGFF) CEO Randy Crawford on Q2 2022 Results - Earnings Call Transcript
AltaGas Ltd. (OTCPK:ATGFF) Q2 2022 Earnings Conference Call July 28, 2022 10:00 AM ETCompany ParticipantsJohn Morrison - SVP, IR and Corporate DevelopmentRandy Crawford - President and...",,,
STCK.PRO,@StckPro,2022-07-28T20:10:09.000Z,"STCK.PRO
@StckPro
·
Jul 28, 2022$ATGFF $ATGPF NEW ARTICLE : AltaGas Ltd. (ATGFF) CEO Randy Crawford on Q2 2022 Results - Earnings Call Transcript https://stck.pro/news/ATGFF/32015153… Get all the latest $ATGFF related news here : https://stck.pro/news/ATGFF
stck.pro
ATGFF : AltaGas Ltd. (ATGFF) CEO Randy Crawford on Q2 2022 Results - Earnings Call Transcript -...
AltaGas Ltd. (OTCPK:ATGFF) Q2 2022 Earnings Conference Call July 28, 2022, 10:00 AM ET Company Participants John Morrison - SVP, IR and Corporate Development Randy Crawford - President and...",,,
Seeking Alpha,@SeekingAlpha,2022-07-28T20:07:13.000Z,"Seeking Alpha
@SeekingAlpha
·
Jul 28, 2022$ATGFF $ALA.PRB:CA $ATGPF - AltaGas Ltd. (ATGFF) CEO Randy Crawford on Q2 2022 Results - Earnings Call Transcript. https://seekingalpha.com/article/4527088-altagas-ltd-atgff-ceo-randy-crawford-on-q2-2022-results-earnings-call-transcript?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated… #investing #finance #markets
seekingalpha.com
AltaGas Ltd. (ATGFF) CEO Randy Crawford on Q2 2022 Results - Earnings Call Transcript
AltaGas Ltd. (OTCPK:ATGFF) Q2 2022 Earnings Conference Call July 28, 2022 10:00 AM ETCompany ParticipantsJohn Morrison - SVP, IR and Corporate DevelopmentRandy Crawford - President and...",,,
BC Gas Lobbying Bot,@BCGasLobbyBot,2022-07-15T20:31:02.000Z,"BC Gas Lobbying Bot
@BCGasLobbyBot
·
Jul 15, 2022 FOSSIL FUEL LOBBYING ALERT: On Wed. June 8, 2022, AltaGas Ltd. lobbied Don D'Souza, and Adria Fradley.
1
1
3",1.0,1.0,3.0
